"Event","Donor Code","Donor Name","Donated To","Donated To Date Of Gift","Donated To Gift Value"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","09/02/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","26/02/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","28/02/2025","15776"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","13/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","31/03/2025","8297"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/04/2025","14580"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","03/04/2025","25000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","21/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","3382"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","6715"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","1297"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","JONES, Keryn Louise","01/06/2025","2540"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","20/11/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","20/11/2024","33000"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","10/02/2025","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","17/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","17/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","17/03/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","25/03/2025","6600"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/04/2025","17484"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","30/04/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/05/2025","7835"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/05/2025","8052"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/06/2025","721"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/06/2025","3146"
"2025 Federal Election","40367","Climate 200 Pty Limited","KUSS, Anita","01/06/2025","3245"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","08/10/2024","21340"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","09/10/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","20/11/2024","38000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","25/11/2024","19000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","06/12/2024","3366"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","30/12/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","22/01/2025","106000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/02/2025","22001"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","04/02/2025","150000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","26/02/2025","3892"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","26/02/2025","11506"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","28/02/2025","22159"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","12/03/2025","57120"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","13/03/2025","18376"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","27/03/2025","55000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","31/03/2025","287192"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","10/04/2025","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","05/05/2025","106900"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","8167"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","2450"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","LEONARD, Deborah Louise","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","18/12/2024","16150"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","18/12/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","06/01/2025","38000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","01/02/2025","13938"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","26/02/2025","31000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","31/03/2025","11162"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","16/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","02/05/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","01/06/2025","5566"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","01/06/2025","1585"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILLER, Jeremy John","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","04/11/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","06/11/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","03/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","31/01/2025","5062"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","01/02/2025","20835"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","11/04/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","MILTHORPE, Michelle Marie","01/06/2025","43820"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","12/11/2024","50280"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","02/12/2024","16500"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","04/12/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","11/12/2024","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","15/01/2025","75000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","17/01/2025","297"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","12/02/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","26/02/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","03/03/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","13/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","03/04/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","10/04/2025","55000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","10/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","16/04/2025","6050"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","17/04/2025","66000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","19/04/2025","1100"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","7018"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","19397"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","MURRAY-BARTLETT, Erchana","01/06/2025","19250"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","04/02/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","04/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","12/02/2025","1000"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","14/04/2025","5000"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","16/04/2025","5000"
"2025 Federal Election","40367","Climate 200 Pty Limited","NESS, Jessica Helen Jane","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","10/12/2024","30586"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","11/12/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","16/12/2024","617"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","16/12/2024","2883"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","10/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","22/04/2025","1250"
"2025 Federal Election","40367","Climate 200 Pty Limited","PRICE, Jessie Ann","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","17/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","24/02/2025","24978"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","31/03/2025","5524"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","14/04/2025","10000"
"2025 Federal Election","40367","Climate 200 Pty Limited","ROLFE, Jenny Lee","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","04/10/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","07/10/2024","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","29/11/2024","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","30/12/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","13/01/2025","41392"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","17/01/2025","299"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","01/02/2025","14850"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","14/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","19/04/2025","1100"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","01/06/2025","1585"
"2025 Federal Election","40367","Climate 200 Pty Limited","RYAN, Monique Marie","01/06/2025","7260"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","10/07/2024","42200"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","15/07/2024","29000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","03/09/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","03/09/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","17/09/2024","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","20/09/2024","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","18/11/2024","80000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","18/12/2024","120000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","30/12/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","28/01/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","31/01/2025","60000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","13/02/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","24/02/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","14/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","03/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","10/04/2025","3300"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","17/04/2025","32000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","22/05/2025","1102"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","01/06/2025","26250"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","01/06/2025","24926"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCAMPS, Sophie Anna","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","17/02/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","17/02/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","17/02/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","28/03/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","01/04/2025","13915"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","22/04/2025","1250"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","01/06/2025","1153"
"2025 Federal Election","40367","Climate 200 Pty Limited","SCOTT, Phillip Stephen","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","SHARKIE, Rebekha Carina Che","18/09/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","SHARKIE, Rebekha Carina Che","18/09/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","06/12/2024","3366"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","10/12/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","11/12/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","16/12/2024","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","16/12/2024","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","30/12/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","22/01/2025","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","31/01/2025","23"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/02/2025","4860"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","04/02/2025","150000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","24/02/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","28/02/2025","3231"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","03/03/2025","116124"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","24/03/2025","200000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","27/03/2025","74000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","31/03/2025","87405"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","03/04/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","10/04/2025","2200"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","19/04/2025","1100"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","12/05/2025","105000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","22/05/2025","1062"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","2043"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","59500"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","3382"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","513"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","721"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","6413"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Benjamin John","01/06/2025","6703"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","15/01/2025","50000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","17/01/2025","1815"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","09/02/2025","70000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","13/02/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","24/02/2025","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","28/03/2025","3326"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","03/04/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","06/04/2025","165"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","16/04/2025","6050"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","01/06/2025","2495"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","01/06/2025","17500"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","01/06/2025","9500"
"2025 Federal Election","40367","Climate 200 Pty Limited","SMITH, Eleanor","01/06/2025","3630"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","15/07/2024","39000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","21/10/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","26/11/2024","100000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","30/12/2024","40000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","13/01/2025","41392"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","17/01/2025","288"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","12/03/2025","39000"
"2025 Federal Election","40367","Climate 200 Pty Limited","SPENDER, Allegra May","22/05/2025","1219"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","21/10/2024","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","21/10/2024","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","16/01/2025","607"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","16/01/2025","2893"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","22/01/2025","1"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","22/01/2025","80000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","10/02/2025","642"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","24/02/2025","22000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","13/03/2025","6000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/04/2025","15423"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","14/04/2025","15000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","16/04/2025","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","21/04/2025","20000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","1873"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","275"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","11555"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","15215"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","2750"
"2025 Federal Election","40367","Climate 200 Pty Limited","WIIG, Francine Clare","01/06/2025","2201"
"2025 Federal Election","40367","Climate 200 Pty Limited","WILKIE, Andrew Damien","14/08/2024","30000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WILKIE, Andrew Damien","16/10/2024","2000"
"2025 Federal Election","40367","Climate 200 Pty Limited","WILKIE, Andrew Damien","27/11/2024","200"
"2025 Federal Election","40367","Climate 200 Pty Limited","WILKIE, Andrew Damien","17/01/2025","292"
"2025 Federal Election","40367","Climate 200 Pty Limited","WILKIE, Andrew Damien","02/05/2025","149"
"2025 Federal Election","47897","Cochrane, Therese","BOELE, Nicolette","19/06/2024","20000"
"2025 Federal Election","51168","Darling, Ian","SPENDER, Allegra May","09/12/2024","100000"
"2025 Federal Election","45023","DCM Bluelake pty ltd","SPENDER, Allegra May","06/02/2025","100000"
"2025 Federal Election","51455","Douglas, Margaret","HOLT, Suzanne Jan","19/11/2024","5000"
"2025 Federal Election","51455","Douglas, Margaret","HOLT, Suzanne Jan","29/11/2024","5000"
"2025 Federal Election","51455","Douglas, Margaret","HOLT, Suzanne Jan","01/02/2025","10000"
"2025 Federal Election","51455","Douglas, Margaret","HOLT, Suzanne Jan","04/03/2025","6050"
"2025 Federal Election","51196","Edgar, Malcolm","HOLT, Suzanne Jan","08/11/2024","25000"
"2025 Federal Election","51196","Edgar, Malcolm","HOLT, Suzanne Jan","11/11/2024","10"
"2025 Federal Election","51196","Edgar, Malcolm","SMITH, Eleanor","14/02/2025","25000"
"2025 Federal Election","51265","Eve Kantor, Mark Wootton and ","DYSON, Alexander Edward","17/11/2024","25000"
"2025 Federal Election","51265","Eve Kantor, Mark Wootton and ","DYSON, Alexander Edward","08/03/2025","25000"
"2025 Federal Election","51265","Eve Kantor, Mark Wootton and ","DYSON, Alexander Edward","25/03/2025","50000"
"2025 Federal Election","40398","Extend Your Edge Pty Ltd ","DANIEL, Zoe","24/02/2025","15000"
"2025 Federal Election","40398","Extend Your Edge Pty Ltd ","DANIEL, Zoe","10/04/2025","5000"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","21/10/2024","3154"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","13/12/2024","404"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","23/01/2025","19410"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","04/02/2025","2000"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","17/02/2025","100"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","19/02/2025","282"
"2025 Federal Election","51219","Fairfax Matters","WIIG, Francine Clare","31/03/2025","270"
"2025 Federal Election","51223","Future Blue Australia Ptd Ltd","WIIG, Francine Clare","17/02/2025","25000"
"2025 Federal Election","51249","Gee, Melva","GEE, Andrew Robert","31/12/2024","1100"
"2025 Federal Election","51249","Gee, Melva","GEE, Andrew Robert","21/02/2025","5573"
